 ,Label,Area,Mean
1,1_00.tif_C2:Nucleus-C2,2.500,1754.560
2,1_00.tif_C2:Intersection-C2,0.321,1474.514
3,1_00.tif_C1:Nucleus-C1,2.528,1674.478
4,1_00.tif_C1:Intersection-C1,0.229,1475.640
5,1_01.tif_C2:Nucleus-C2,2.482,1717.221
6,1_01.tif_C2:Intersection-C2,0.137,1459.133
7,1_01.tif_C1:Nucleus-C1,2.455,1700.246
8,1_01.tif_C1:Intersection-C1,0.082,1360.889
9,1_02.tif_C2:Nucleus-C2,2.629,1712.300
10,1_02.tif_C2:Intersection-C2,0.714,1742.308
11,1_02.tif_C1:Nucleus-C1,2.720,1629.040
12,1_02.tif_C1:Intersection-C1,0.577,1542.794
13,1_03.tif_C2:Nucleus-C2,3.151,1591.613
14,1_03.tif_C2:Intersection-C2,0.568,1560.016
15,1_03.tif_C1:Nucleus-C1,2.775,1645.426
16,1_03.tif_C1:Intersection-C1,0.440,1483.833
17,1_04.tif_C2:Nucleus-C2,2.720,1661.111
18,1_04.tif_C2:Intersection-C2,0.696,1661.921
19,1_04.tif_C1:Nucleus-C1,2.629,1634.369
20,1_04.tif_C1:Intersection-C1,0.614,1689.791
21,1_05.tif_C2:Nucleus-C2,2.821,1633.896
22,1_05.tif_C2:Intersection-C2,0.632,1589.246
23,1_05.tif_C1:Nucleus-C1,2.784,1601.247
24,1_05.tif_C1:Intersection-C1,0.485,1525.547
25,1_06.tif_C2:Nucleus-C2,3.059,1589.919
26,1_06.tif_C2:Intersection-C2,0.742,1608.457
27,1_06.tif_C1:Nucleus-C1,2.784,1606.684
28,1_06.tif_C1:Intersection-C1,0.513,1611.714
29,1_07.tif_C2:Nucleus-C2,3.059,1558.994
30,1_07.tif_C2:Intersection-C2,0.916,1579.480
31,1_07.tif_C1:Nucleus-C1,2.958,1601.458
32,1_07.tif_C1:Intersection-C1,0.586,1631.594
33,1_08.tif_C2:Nucleus-C2,2.619,1628.902
34,1_08.tif_C2:Intersection-C2,0.943,1678.553
35,1_08.tif_C1:Nucleus-C1,2.794,1630.679
36,1_08.tif_C1:Intersection-C1,0.788,1653.465
37,1_09.tif_C2:Nucleus-C2,2.684,1630.584
38,1_09.tif_C2:Intersection-C2,0.980,1707.963
39,1_09.tif_C1:Nucleus-C1,2.528,1697.906
40,1_09.tif_C1:Intersection-C1,0.760,1789.904
41,1_10.tif_C2:Nucleus-C2,2.766,1615.497
42,1_10.tif_C2:Intersection-C2,1.007,1734.436
43,1_10.tif_C1:Nucleus-C1,2.830,1631.307
44,1_10.tif_C1:Intersection-C1,0.806,1643.909
45,1_11.tif_C2:Nucleus-C2,2.949,1546.941
46,1_11.tif_C2:Intersection-C2,0.943,1651.932
47,1_11.tif_C1:Nucleus-C1,2.812,1612.049
48,1_11.tif_C1:Intersection-C1,0.650,1624.817
49,1_12.tif_C2:Nucleus-C2,2.794,1586.446
50,1_12.tif_C2:Intersection-C2,1.026,1750.071
51,1_12.tif_C1:Nucleus-C1,2.858,1599.397
52,1_12.tif_C1:Intersection-C1,0.888,1621.505
53,1_14.tif_C2:Nucleus-C2,3.178,1497.340
54,1_14.tif_C2:Intersection-C2,0.953,1586.644
55,1_14.tif_C1:Nucleus-C1,2.986,1576.417
56,1_14.tif_C1:Intersection-C1,0.760,1611.542
57,1_15.tif_C2:Nucleus-C2,3.151,1482.407
58,1_15.tif_C2:Intersection-C2,0.843,1553.228
59,1_15.tif_C1:Nucleus-C1,2.748,1602.620
60,1_15.tif_C1:Intersection-C1,0.568,1601.919
61,1_16.tif_C2:Nucleus-C2,3.004,1507.006
62,1_16.tif_C2:Intersection-C2,0.934,1629.971
63,1_16.tif_C1:Nucleus-C1,3.050,1535.420
64,1_16.tif_C1:Intersection-C1,0.879,1632.479
65,1_17.tif_C2:Nucleus-C2,2.894,1504.623
66,1_17.tif_C2:Intersection-C2,0.888,1650.258
67,1_17.tif_C1:Nucleus-C1,2.812,1587.150
68,1_17.tif_C1:Intersection-C1,0.769,1698.107
69,1_18.tif_C2:Nucleus-C2,3.096,1425.512
70,1_18.tif_C2:Intersection-C2,0.916,1534.450
71,1_18.tif_C1:Nucleus-C1,2.647,1634.941
72,1_18.tif_C1:Intersection-C1,0.760,1763.398
73,1_19.tif_C2:Nucleus-C2,3.197,1420.960
74,1_19.tif_C2:Intersection-C2,0.788,1486.465
75,1_19.tif_C1:Nucleus-C1,2.894,1555.706
76,1_19.tif_C1:Intersection-C1,0.595,1601.077
77,1_20.tif_C2:Nucleus-C2,3.352,1414.459
78,1_20.tif_C2:Intersection-C2,0.861,1481.340
79,1_20.tif_C1:Nucleus-C1,2.455,1673.437
80,1_20.tif_C1:Intersection-C1,0.696,1809.987
81,1_21.tif_C2:Nucleus-C2,3.151,1409.052
82,1_21.tif_C2:Intersection-C2,0.769,1407.893
83,1_21.tif_C1:Nucleus-C1,3.059,1532.835
84,1_21.tif_C1:Intersection-C1,0.669,1601.192
