"","rn","CELL","FRAME","NucleusMean_Ch2","IntersectionMean_Ch2","NucleusMean_Ch1","IntersectionMean_Ch1","NFratio_Ch2","NFratio_Ch1","T0Means_Ch2","T0Means_Ch1","ScaledINT_Ch2","ScaledINT_Ch1","TIME","Ch1_1stSlope","Ch1_2ndSlope","Ch2_1stSlope","Ch2_2ndSlope"
"1","1","1","00",2179.337,1517.833,2076.764,1533.583,0.696465484686398,0.738448374490313,0.696465484686398,0.738448374490313,0,0,15,NA,NA,NA,NA
"2","2","1","01",2107.828,1340.75,2121.014,1446.5,0.636081312137423,0.681985125982195,0.696465484686398,0.738448374490313,-0.0867008830684041,-0.0764620120493721,25,-0.00764620120493721,NA,-0.00867008830684041,NA
"3","3","1","02",2061.618,2054.433,2096.814,1936.526,0.996514873269442,0.923556405098402,0.696465484686398,0.738448374490313,0.430817312817948,0.25067159330651,35,0.0327133605355882,0.00403595617405254,0.0517518195886352,0.00604219078954757
"4","4","1","03",2017.234,1933.562,2266.62,1976.72,0.958521420915967,0.872100307947517,0.696465484686398,0.738448374490313,0.376265503447837,0.180990219593146,45,-0.00696813737133635,-0.00396814979069245,-0.00545518093701114,-0.00572070005256464
"5","5","1","04",1953.9,1737.727,2189.827,2049.083,0.889363324632786,0.935728256159048,0.696465484686398,0.738448374490313,0.27696683351544,0.267154602114062,55,0.00861643825209155,0.00155845756234279,-0.0099298669932397,-0.000447468605622856
"6","6","1","05",1993.93,1826.861,2140.183,1841.481,0.91621120099502,0.860431561226306,0.696465484686398,0.738448374490313,0.315515587118533,0.165188510056899,65,-0.0101966092057163,-0.00188130474578079,0.00385487536030926,0.0013784742353549
"7","7","1","06",1872.707,1941.702,2058.875,1914.841,1.03684238911907,0.930042377511991,0.696465484686398,0.738448374490313,0.488720420346362,0.259454837521876,75,0.00942663274649778,0.00196232419522141,0.0173204833227829,0.00134656079624736
"8","8","1","07",1901.645,2004.903,2157.51,2150,1.05429930402362,0.996519135484888,0.696465484686398,0.738448374490313,0.513785431159375,0.349477052031834,85,0.00900222145099581,-4.2441129550197e-05,0.00250650108130133,-0.00148139822414816
"9","9","1","08",1940.922,1945.086,2185.486,2251.492,1.00214537214788,1.03020197795822,0.696465484686398,0.738448374490313,0.438901703218098,0.395090047654693,95,0.00456129956228581,-0.000444092188870999,-0.00748837279412766,-0.000999487387542899
"10","10","1","09",2038.044,2071.387,2420.568,2358.719,1.01636029447843,0.974448559181151,0.696465484686398,0.738448374490313,0.459311791934779,0.319589280501468,105,-0.00755007671532242,-0.00121113762776082,0.00204100887166805,0.000952938166579571
