 ,Label,Area,Mean
1,1_00.tif_C2:Nucleus-C2,1.630,2179.337
2,1_00.tif_C2:Intersection-C2,0.110,1517.833
3,1_00.tif_C1:Nucleus-C1,1.859,2076.764
4,1_00.tif_C1:Intersection-C1,0.110,1533.583
5,1_01.tif_C2:Nucleus-C2,1.759,2107.828
6,1_01.tif_C2:Intersection-C2,0.037,1340.750
7,1_01.tif_C1:Nucleus-C1,1.960,2121.014
8,1_01.tif_C1:Intersection-C1,0.018,1446.500
9,1_02.tif_C2:Nucleus-C2,1.823,2061.618
10,1_02.tif_C2:Intersection-C2,0.550,2054.433
11,1_02.tif_C1:Nucleus-C1,1.823,2096.814
12,1_02.tif_C1:Intersection-C1,0.348,1936.526
13,1_03.tif_C2:Nucleus-C2,1.914,2017.234
14,1_03.tif_C2:Intersection-C2,0.293,1933.562
15,1_03.tif_C1:Nucleus-C1,1.759,2266.620
16,1_03.tif_C1:Intersection-C1,0.229,1976.720
17,1_04.tif_C2:Nucleus-C2,1.933,1953.900
18,1_04.tif_C2:Intersection-C2,0.504,1737.727
19,1_04.tif_C1:Nucleus-C1,1.749,2189.827
20,1_04.tif_C1:Intersection-C1,0.440,2049.083
21,1_05.tif_C2:Nucleus-C2,1.841,1993.930
22,1_05.tif_C2:Intersection-C2,0.330,1826.861
23,1_05.tif_C1:Nucleus-C1,1.804,2140.183
24,1_05.tif_C1:Intersection-C1,0.247,1841.481
25,1_06.tif_C2:Nucleus-C2,1.905,1872.707
26,1_06.tif_C2:Intersection-C2,0.430,1941.702
27,1_06.tif_C1:Nucleus-C1,1.978,2058.875
28,1_06.tif_C1:Intersection-C1,0.403,1914.841
29,1_07.tif_C2:Nucleus-C2,1.960,1901.645
30,1_07.tif_C2:Intersection-C2,0.568,2004.903
31,1_07.tif_C1:Nucleus-C1,1.868,2157.510
32,1_07.tif_C1:Intersection-C1,0.440,2150.000
33,1_08.tif_C2:Nucleus-C2,1.868,1940.922
34,1_08.tif_C2:Intersection-C2,0.742,1945.086
35,1_08.tif_C1:Nucleus-C1,1.905,2185.486
36,1_08.tif_C1:Intersection-C1,0.577,2251.492
37,1_09.tif_C2:Nucleus-C2,1.676,2038.044
38,1_09.tif_C2:Intersection-C2,0.687,2071.387
39,1_09.tif_C1:Nucleus-C1,1.612,2420.568
40,1_09.tif_C1:Intersection-C1,0.586,2358.719
41,1_10.tif_C2:Nucleus-C2,1.813,1992.318
42,1_10.tif_C2:Intersection-C2,0.879,2067.875
43,1_10.tif_C1:Nucleus-C1,1.795,2234.383
44,1_10.tif_C1:Intersection-C1,0.577,2239.317
45,1_11.tif_C2:Nucleus-C2,1.777,1908.763
46,1_11.tif_C2:Intersection-C2,0.705,2058.675
47,1_11.tif_C1:Nucleus-C1,1.960,2229.893
48,1_11.tif_C1:Intersection-C1,0.467,2240.353
49,1_12.tif_C2:Nucleus-C2,1.878,1883.712
50,1_12.tif_C2:Intersection-C2,0.907,2000.737
51,1_12.tif_C1:Nucleus-C1,1.795,2224.204
52,1_12.tif_C1:Intersection-C1,0.604,2144.667
53,1_14.tif_C2:Nucleus-C2,2.052,1746.866
54,1_14.tif_C2:Intersection-C2,0.760,1788.217
55,1_14.tif_C1:Nucleus-C1,1.639,2279.480
56,1_14.tif_C1:Intersection-C1,0.467,2310.667
57,1_15.tif_C2:Nucleus-C2,1.850,1759.361
58,1_15.tif_C2:Intersection-C2,0.586,1824.188
59,1_15.tif_C1:Nucleus-C1,1.933,2051.318
60,1_15.tif_C1:Intersection-C1,0.421,2163.283
61,1_16.tif_C2:Nucleus-C2,1.969,1731.549
62,1_16.tif_C2:Intersection-C2,0.779,1887.259
63,1_16.tif_C1:Nucleus-C1,2.015,2055.155
64,1_16.tif_C1:Intersection-C1,0.604,2455.530
65,1_17.tif_C2:Nucleus-C2,1.988,1731.700
66,1_17.tif_C2:Intersection-C2,0.724,1972.608
67,1_17.tif_C1:Nucleus-C1,1.704,2263.376
68,1_17.tif_C1:Intersection-C1,0.540,2564.034
69,1_18.tif_C2:Nucleus-C2,2.189,1622.184
70,1_18.tif_C2:Intersection-C2,0.806,1777.864
71,1_18.tif_C1:Nucleus-C1,1.841,2222.582
72,1_18.tif_C1:Intersection-C1,0.586,2605.625
73,1_19.tif_C2:Nucleus-C2,1.878,1673.976
74,1_19.tif_C2:Intersection-C2,0.559,1778.656
75,1_19.tif_C1:Nucleus-C1,1.859,2131.522
76,1_19.tif_C1:Intersection-C1,0.430,2271.170
77,1_20.tif_C2:Nucleus-C2,2.097,1619.716
78,1_20.tif_C2:Intersection-C2,0.650,1682.042
79,1_20.tif_C1:Nucleus-C1,1.969,2193.340
80,1_20.tif_C1:Intersection-C1,0.650,2507.746
81,1_21.tif_C2:Nucleus-C2,1.942,1633.170
82,1_21.tif_C2:Intersection-C2,0.458,1617.620
83,1_21.tif_C1:Nucleus-C1,1.850,2083.856
84,1_21.tif_C1:Intersection-C1,0.430,2299.957
85,10_01.tif_C2:Nucleus-C2,1.301,2872.028
86,10_01.tif_C2:Intersection-C2,1.026,3085.982
87,10_01.tif_C1:Nucleus-C1,1.383,2069.894
88,10_01.tif_C1:Intersection-C1,0.898,2228.878
89,10_04.tif_C2:Nucleus-C2,1.319,2766.299
90,10_04.tif_C2:Intersection-C2,0.962,2943.648
91,10_04.tif_C1:Nucleus-C1,1.291,2050.695
92,10_04.tif_C1:Intersection-C1,0.678,2188.811
93,10_06.tif_C2:Nucleus-C2,1.255,2873.197
