"","rn","Time","AverageINT_Ch1","AverageINT_Ch2","Ch1_firstSlope","Ch1_secondSlope","Ch2_firstSlope","Ch2_secondSlope"
"1","1",15,0,0,NA,NA,NA,NA
"2","2",25,0.0114199893997747,0.0130454785046637,0.00114199893997747,NA,0.00130454785046637,NA
"3","3",55,0.00108315878512367,-2.39067759263068e-05,-0.000344561020488369,-4.95519986821948e-05,-0.000435646176019666,-5.80064675495344e-05
"4","4",65,-0.0010661999099522,0.00273734209865366,-0.000214935869507587,1.29625150980782e-05,0.000276124887457997,7.11771063477663e-05
"5","5",75,0.00638092601187967,0.000142933880634929,0.000744712592183186,9.59648461690773e-05,-0.000259440821801873,-5.3556570925987e-05
"6","6",85,-0.00395391104124212,-0.00282866676001087,-0.00103348370531218,-0.000177819629749536,-0.00029716006406458,-3.77192422627064e-06
"7","7",95,0.00137577676070309,0.00119972764011308,0.000532968780194521,0.00015664524855067,0.000402839440012395,6.99999504076975e-05
"8","8",105,0.00445258108336245,0.00234112121675674,0.000307680432265936,-2.25288347928585e-05,0.000114139357664365,-2.8870008234803e-05
"9","9",125,-0.0061903252789879,0.00626884489412261,-0.000532145318117517,-4.19912875191727e-05,0.000196386183868294,4.11234131019642e-06
"10","10",135,-0.00514184289823645,-0.00139702874836289,0.000104848238075145,6.36993556192662e-05,-0.000766587364248551,-9.62973548116845e-05
"11","11",145,-0.015531051243384,-0.0153658038164788,-0.00103892083451475,-0.00011437690725899,-0.00139687750681159,-6.3029014256304e-05
"12","12",155,-0.00554119843411398,-0.00656838428956473,0.000998985280927001,0.000203790611544176,0.000879741952691407,0.0002276619459503
"13","13",165,-0.00121750529943641,0.00675024870189737,0.000432369313467757,-5.66615967459244e-05,0.00133186329914621,4.52121346454803e-05
"14","14",175,0.00152042316945957,0.000910033548426267,0.000273792846889598,-1.58576466578159e-05,-0.000584021515347111,-0.000191588481449332
"15","15",185,-0.00245904034311904,-0.000680282815444226,-0.00039794635125786,-6.71739198147458e-05,-0.000159031636387049,4.24989878960061e-05
"16","16",195,0.00376804711125835,0.00377701462341706,0.000622708745437739,0.00010206550966956,0.000445729743886129,6.04761380273178e-05
"17","17",205,0.000345022358019612,0.00182628293514679,-0.000342302475323874,-9.65011220761613e-05,-0.000195073168827027,-6.40802912713155e-05
"18","18",215,0.00445007027370791,0.00237335148512822,0.000410504791568829,7.52807266892704e-05,5.47068549981426e-05,2.4978002382517e-05
"19","19",225,-0.00239935984499825,0.000882016811664338,-0.000684943011870616,-0.000109544780343945,-0.000149133467346388,-2.03840322344531e-05
"20","20",235,-0.00261284157290368,-0.00459057225439647,-2.1348172790543e-05,6.63594839080073e-05,-0.00054725890660608,-3.98125439259692e-05
"21","21",245,0.00307672278511815,0.00469942768705212,0.000568956435802183,5.90304608592726e-05,0.000928999994144858,0.000147625890075094
"22","22",35,0.0320855437001499,0.0464457063280282,-0.000138137242452532,3.36711275359388e-06,-0.000198791803052267,5.37043712951012e-06
"23","23",45,0.00784306067135179,0.0177530906615569,-0.00242424830287981,-0.000228611106042728,-0.00286926156664713,-0.000267046976359487
"24","24",115,0.132552166135766,0.131067591174343,0.00178155864949163,6.00829564624491e-05,0.00161877857875408,6.41148592200173e-05
"25","25",255,0.0258686955425607,0.00387962462936042,-0.000762024789951465,-1.81684531388792e-05,-0.000908485475321302,-1.80518861005385e-05
"26","26",265,0.0473166935150906,0.037914585274835,0.00214479979725299,0.000290682458720446,0.00340349606454746,0.000431198153986876
"27","27",275,0.0212018672998027,0.0630489641415906,-0.00261148262152879,-0.000475628241878179,0.00251343788667555,-8.90058177871911e-05
