 ,Label,Area,Mean
1,10_00.tif_C2:Nucleus-C2,2.638,1665.038
2,10_00.tif_C2:Intersection-C2,0.724,1785.570
3,10_00.tif_C1:Nucleus-C1,2.794,1535.105
4,10_00.tif_C1:Intersection-C1,0.843,1689.391
5,10_01.tif_C2:Nucleus-C2,2.748,1614.720
6,10_01.tif_C2:Intersection-C2,0.861,1778.202
7,10_01.tif_C1:Nucleus-C1,2.363,1567.950
8,10_01.tif_C1:Intersection-C1,0.980,1697.019
9,10_02.tif_C2:Nucleus-C2,2.894,1573.326
10,10_02.tif_C2:Intersection-C2,0.962,1681.086
11,10_02.tif_C1:Nucleus-C1,2.308,1577.698
12,10_02.tif_C1:Intersection-C1,0.779,1594.153
13,10_03.tif_C2:Nucleus-C2,2.674,1556.096
14,10_03.tif_C2:Intersection-C2,0.751,1581.780
15,10_03.tif_C1:Nucleus-C1,2.821,1489.357
16,10_03.tif_C1:Intersection-C1,0.815,1550.461
17,10_04.tif_C2:Nucleus-C2,2.739,1554.194
18,10_04.tif_C2:Intersection-C2,0.760,1617.024
19,10_04.tif_C1:Nucleus-C1,2.445,1485.427
20,10_04.tif_C1:Intersection-C1,0.760,1514.072
21,10_05.tif_C2:Nucleus-C2,2.766,1510.795
22,10_05.tif_C2:Intersection-C2,0.760,1533.373
23,10_05.tif_C1:Nucleus-C1,2.995,1416.679
24,10_05.tif_C1:Intersection-C1,0.879,1520.062
25,10_06.tif_C2:Nucleus-C2,2.445,1559.929
26,10_06.tif_C2:Intersection-C2,0.888,1641.526
27,10_06.tif_C1:Nucleus-C1,2.839,1422.510
28,10_06.tif_C1:Intersection-C1,0.962,1507.410
29,10_07.tif_C2:Nucleus-C2,2.391,1545.923
30,10_07.tif_C2:Intersection-C2,0.733,1661.388
31,10_07.tif_C1:Nucleus-C1,2.839,1443.487
32,10_07.tif_C1:Intersection-C1,0.788,1606.721
33,10_08.tif_C2:Nucleus-C2,2.665,1508.316
34,10_08.tif_C2:Intersection-C2,0.760,1621.458
35,10_08.tif_C1:Nucleus-C1,2.336,1500.537
36,10_08.tif_C1:Intersection-C1,0.879,1578.375
37,10_09.tif_C2:Nucleus-C2,2.445,1533.236
38,10_09.tif_C2:Intersection-C2,0.907,1615.000
39,10_09.tif_C1:Nucleus-C1,2.821,1414.396
40,10_09.tif_C1:Intersection-C1,0.962,1588.676
41,10_10.tif_C2:Nucleus-C2,2.656,1548.607
42,10_10.tif_C2:Intersection-C2,0.980,1651.196
43,10_10.tif_C1:Nucleus-C1,2.757,1427.674
44,10_10.tif_C1:Intersection-C1,0.989,1594.065
45,10_11.tif_C2:Nucleus-C2,2.812,1477.248
46,10_11.tif_C2:Intersection-C2,0.833,1552.901
47,10_11.tif_C1:Nucleus-C1,2.500,1510.612
48,10_11.tif_C1:Intersection-C1,0.925,1602.099
49,10_12.tif_C2:Nucleus-C2,3.041,1459.066
50,10_12.tif_C2:Intersection-C2,0.852,1540.366
51,10_12.tif_C1:Nucleus-C1,2.720,1469.879
52,10_12.tif_C1:Intersection-C1,0.806,1512.193
53,10_13.tif_C2:Nucleus-C2,2.739,1489.452
54,10_13.tif_C2:Intersection-C2,0.879,1477.625
55,10_13.tif_C1:Nucleus-C1,2.555,1494.975
56,10_13.tif_C1:Intersection-C1,0.824,1491.289
57,10_14.tif_C2:Nucleus-C2,2.244,1571.086
58,10_14.tif_C2:Intersection-C2,0.962,1705.819
59,10_14.tif_C1:Nucleus-C1,1.868,1670.255
60,10_14.tif_C1:Intersection-C1,0.953,1710.154
61,10_15.tif_C2:Nucleus-C2,2.061,1554.347
62,10_15.tif_C2:Intersection-C2,0.916,1686.280
63,10_15.tif_C1:Nucleus-C1,1.740,1632.547
64,10_15.tif_C1:Intersection-C1,0.943,1718.252
65,10_16.tif_C2:Nucleus-C2,2.326,1489.370
66,10_16.tif_C2:Intersection-C2,0.971,1656.585
67,10_16.tif_C1:Nucleus-C1,2.107,1573.661
68,10_16.tif_C1:Intersection-C1,0.916,1686.590
69,10_17.tif_C2:Nucleus-C2,2.464,1465.677
70,10_17.tif_C2:Intersection-C2,1.007,1606.118
71,10_17.tif_C1:Nucleus-C1,2.061,1557.396
72,10_17.tif_C1:Intersection-C1,0.843,1608.033
73,10_18.tif_C2:Nucleus-C2,2.739,1439.826
74,10_18.tif_C2:Intersection-C2,0.971,1537.142
75,108_00.tif_C2:Nucleus-C2,2.968,1834.438
76,108_00.tif_C2:Intersection-C2,0.577,1775.667
77,108_00.tif_C1:Nucleus-C1,3.132,1806.512
78,108_00.tif_C1:Intersection-C1,0.623,1666.750
79,108_01.tif_C2:Nucleus-C2,2.995,1825.817
80,108_01.tif_C2:Intersection-C2,0.852,1836.656
81,108_01.tif_C1:Nucleus-C1,3.050,1798.396
82,108_01.tif_C1:Intersection-C1,0.696,1808.803
83,108_04.tif_C2:Nucleus-C2,2.885,1801.165
84,108_04.tif_C2:Intersection-C2,0.879,1922.271
85,108_04.tif_C1:Nucleus-C1,2.885,1803.346
86,108_04.tif_C1:Intersection-C1,0.870,1878.137
87,108_05.tif_C2:Nucleus-C2,3.169,1717.682
88,108_05.tif_C2:Intersection-C2,0.760,1809.843
89,108_05.tif_C1:Nucleus-C1,2.986,1793.669
90,108_05.tif_C1:Intersection-C1,0.705,1747.104
91,108_06.tif_C2:Nucleus-C2,3.270,1709.423
92,108_06.tif_C2:Intersection-C2,0.705,1692.169
93,108_06.tif_C1:Nucleus-C1,2.519,1849.236
94,108_06.tif_C1:Intersection-C1,0.458,1733.200
95,108_07.tif_C2:Nucleus-C2,2.803,1770.892
96,108_07.tif_C2:Intersection-C2,0.623,1724.368
97,108_07.tif_C1:Nucleus-C1,2.638,1824.351
98,108_07.tif_C1:Intersection-C1,0.531,1775.810
99,108_08.tif_C2:Nucleus-C2,2.913,1713.091
100,108_08.tif_C2:Intersection-C2,0.669,1647.726
101,108_08.tif_C1:Nucleus-C1,2.821,1785.912
102,108_08.tif_C1:Intersection-C1,0.678,1609.757
103,108_09.tif_C2:Nucleus-C2,2.913,1723.296
104,108_09.tif_C2:Intersection-C2,0.678,1691.311
105,108_09.tif_C1:Nucleus-C1,2.546,1829.327
106,108_09.tif_C1:Intersection-C1,0.540,1758.542
107,108_11.tif_C2:Nucleus-C2,2.693,1732.510
108,108_11.tif_C2:Intersection-C2,0.714,1782.077
109,108_11.tif_C1:Nucleus-C1,2.592,1814.177
110,108_11.tif_C1:Intersection-C1,0.788,1881.093
111,108_12.tif_C2:Nucleus-C2,2.684,1706.720
112,108_12.tif_C2:Intersection-C2,0.870,1811.989
113,108_12.tif_C1:Nucleus-C1,2.546,1851.086
