"","rn","Time","AverageINT_Ch1","AverageINT_Ch2","Ch1_firstSlope","Ch1_secondSlope","Ch2_firstSlope","Ch2_secondSlope"
"1","1",15,0,0,NA,NA,NA,NA
"2","2",25,0.00328813145061873,0.00157786286257163,0.000328813145061873,NA,0.000157786286257163,NA
"3","3",55,-0.00258842455275827,-0.00684526939883146,-0.000195885200112567,-1.7489944839148e-05,-0.000280771075380103,-1.46185787212422e-05
"4","4",65,-0.00809831627690354,0.00305104381024729,-0.000550989172414528,-3.55103972301961e-05,0.000989631320907876,0.000127040239628798
"5","5",75,0.0196844279556005,-0.00291885013412841,0.0027782744232504,0.000332926359566493,-0.000596989394437571,-0.000158662071534545
"6","6",85,0.00445660870605601,-0.000692563928394022,-0.00152278192495444,-0.000430105634820484,0.000222628620573439,8.1961801501101e-05
"7","7",95,-0.00502788905622318,-0.00561175418788468,-0.000948449776227919,5.74332148726526e-05,-0.000491919025949066,-7.14547646522505e-05
"8","8",105,-0.00839388631833236,-0.00682171754922457,-0.000336599726210917,6.11850050017001e-05,-0.000120996336133989,3.70922689815076e-05
"9","9",125,0.000699324243329397,-0.00363903005838707,0.000454660528083088,3.95630127147003e-05,0.000159134374541875,1.40065355337932e-05
"10","10",135,-0.0076712107272123,0.00207755907800872,-0.00083705349705417,-0.000129171402513726,0.000571658913639579,4.12524539097703e-05
"11","11",145,-0.0208897997874174,-0.029178866035468,-0.0013218589060205,-4.84805408966335e-05,-0.00312564251134767,-0.000369730142498725
"12","12",155,0.0114898847598546,-0.00157000948051145,0.0032379684547272,0.00045598273607477,0.00276088565549565,0.000588652816684332
"13","13",165,0.01465914762767,0.00100753507448429,0.000316926286781538,-0.000292104216794566,0.000257754455499574,-0.000250313119999608
"14","14",175,0.00254598482961731,-0.00582962256339214,-0.00121131627980527,-0.000152824256658681,-0.000683715763787643,-9.41470219287217e-05
"15","15",185,0.00400029563075979,-0.00635866421367308,0.000145431080114248,0.000135674735991952,-5.29041650280936e-05,6.3081159875955e-05
"16","16",195,0.0128129751594257,-0.0110214765941051,0.000881267952866595,7.35836872752347e-05,-0.000466281238043204,-4.13377073015111e-05
"17","17",205,-0.0107645399943516,-0.00441667314784265,-0.00235775151537773,-0.000323901946824433,0.000660480344626247,0.000112676158266945
"18","18",215,0.0144491438416296,-0.00708513930489935,0.00252136838359812,0.000487911989897585,-0.000266846615705669,-9.27326960331916e-05
"19","19",225,0.000488822986997068,-0.00874542847812438,-0.00139603208546326,-0.000391740046906138,-0.000166028917322503,1.00817698383166e-05
"20","20",235,-0.0082951383484339,-0.014769143791826,-0.000878396133543097,5.1763595192016e-05,-0.000602371531370162,-4.36342614047659e-05
"21","21",245,0.0138993812138857,-0.00108078440886049,0.00221945195623196,0.000309784808977506,0.00136883593829655,0.000197120746966671
"22","22",35,0.0418661011927658,0.0284428281658298,-0.000133174857042286,1.12029848251155e-05,-0.000140588631308049,7.18773604573619e-06
"23","23",45,0.0331138895460776,0.0499554459661232,-0.000875221164668819,-7.42046307626532e-05,0.00215126178002934,0.000229185041133739
"24","24",115,0.160213906462343,0.0909230176827351,0.00181571452737522,3.8441938457772e-05,0.000585251024523027,-2.23715822215188e-05
"25","25",255,0.159299966015493,-0.0632119617682465,-6.52814604893177e-06,-1.30160190958868e-05,-0.00110096413893558,-1.20443940247044e-05
"26","26",265,0.086497644100451,0.0637105518017254,-0.00728023219150415,-0.000727370404545522,0.0126922513569972,0.00137932154959328
"27","27",275,0.107487438105616,0.0250899465201038,0.00209897940051649,0.000937921159202064,-0.00386206052816216,-0.00165543118851593
