 ,Label,Area,Mean
1,10_00.tif_C2:Nucleus-C2,1.502,2247.689
2,10_00.tif_C2:Intersection-C2,0.550,2439.767
3,10_00.tif_C1:Nucleus-C1,1.539,2022.458
4,10_00.tif_C1:Intersection-C1,0.614,2103.164
5,10_01.tif_C2:Nucleus-C2,1.612,2126.636
6,10_01.tif_C2:Intersection-C2,0.714,2211.192
7,10_01.tif_C1:Nucleus-C1,1.603,1967.046
8,10_01.tif_C1:Intersection-C1,0.898,2008.724
9,10_02.tif_C2:Nucleus-C2,1.804,1983.137
10,10_02.tif_C2:Intersection-C2,0.669,2131.507
11,10_02.tif_C1:Nucleus-C1,1.511,2046.806
12,10_02.tif_C1:Intersection-C1,0.550,1927.717
13,10_03.tif_C2:Nucleus-C2,1.539,1987.393
14,10_03.tif_C2:Intersection-C2,0.513,2088.357
15,10_03.tif_C1:Nucleus-C1,1.575,1915.698
16,10_03.tif_C1:Intersection-C1,0.513,1962.643
17,10_04.tif_C2:Nucleus-C2,1.795,1885.918
18,10_04.tif_C2:Intersection-C2,0.568,2009.887
19,10_04.tif_C1:Nucleus-C1,1.823,1802.688
20,10_04.tif_C1:Intersection-C1,0.559,1802.508
21,10_05.tif_C2:Nucleus-C2,1.639,1841.039
22,10_05.tif_C2:Intersection-C2,0.577,1789.476
23,10_05.tif_C1:Nucleus-C1,1.685,1827.255
24,10_05.tif_C1:Intersection-C1,0.604,1937.455
25,10_06.tif_C2:Nucleus-C2,1.658,1873.420
26,10_06.tif_C2:Intersection-C2,0.724,1968.873
27,10_06.tif_C1:Nucleus-C1,1.557,1870.388
28,10_06.tif_C1:Intersection-C1,0.595,2033.292
29,10_07.tif_C2:Nucleus-C2,1.539,1958.262
30,10_07.tif_C2:Intersection-C2,0.550,2133.067
31,10_07.tif_C1:Nucleus-C1,1.172,2192.508
32,10_07.tif_C1:Intersection-C1,0.458,2423.700
33,10_08.tif_C2:Nucleus-C2,1.630,1875.191
34,10_08.tif_C2:Intersection-C2,0.614,2000.448
35,10_08.tif_C1:Nucleus-C1,1.493,1902.491
36,10_08.tif_C1:Intersection-C1,0.623,2059.324
37,10_09.tif_C2:Nucleus-C2,1.639,1846.229
38,10_09.tif_C2:Intersection-C2,0.705,1954.221
39,10_09.tif_C1:Nucleus-C1,1.291,1981.872
40,10_09.tif_C1:Intersection-C1,0.705,2062.571
41,10_10.tif_C2:Nucleus-C2,1.676,1942.913
42,10_10.tif_C2:Intersection-C2,0.742,2074.494
43,10_10.tif_C1:Nucleus-C1,1.859,1722.099
44,10_10.tif_C1:Intersection-C1,0.943,1852.971
45,10_11.tif_C2:Nucleus-C2,1.465,1985.769
46,10_11.tif_C2:Intersection-C2,0.522,1953.526
47,10_11.tif_C1:Nucleus-C1,1.575,1957.581
48,10_11.tif_C1:Intersection-C1,0.714,1985.564
49,10_12.tif_C2:Nucleus-C2,1.759,1810.120
50,10_12.tif_C2:Intersection-C2,0.623,1922.897
