LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,MEAN_INTENSITY_CH3,MEDIAN_INTENSITY_CH3,MIN_INTENSITY_CH3,MAX_INTENSITY_CH3,TOTAL_INTENSITY_CH3,STD_INTENSITY_CH3,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2,CONTRAST_CH3,SNR_CH3
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Mean intensity ch3,Median intensity ch3,Min intensity ch3,Max intensity ch3,Sum intensity ch3,Std intensity ch3,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2,Contrast ch3,Signal/Noise ratio ch3
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Mean ch3,Median ch3,Min ch3,Max ch3,Sum ch3,Std ch3,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2,Ctrst ch3,SNR ch3
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,,,
ID145667,145667,2,670.0593872070312,30.91780366035464,17.255830303718273,0.0,49.0,49,0.25,1,,2163.027027027027,2122.0,1384.0,2816.0,80032.0,308.197671640791,1238.7297297297298,1262.0,663.0,1698.0,45833.0,271.5874780954716,2083.8648648648646,1986.0,1149.0,3708.0,77103.0,697.8215372843532,0.12667288250045824,1.5781504370085175,0.05232632524219414,0.45359328386345515,0.21918918626511852,1.0737500599542533
ID139776,139776,2,638.509033203125,30.85580298294376,16.87263404161698,0.0,21.0,21,0.25,1,,1517.4324324324323,1557.0,649.0,2493.0,56145.0,620.9186089326998,1365.5945945945944,1334.0,758.0,2356.0,50527.0,477.1847103038275,2019.4054054054054,1761.0,1173.0,3862.0,74718.0,703.5341916771771,0.08360602179416832,0.37711241582121474,0.09051739806072276,0.47507779033437064,0.1978250196567725,0.9481043485148862
ID134151,134151,2,989.2646484375,30.46220332230372,17.388695626475513,0.0,1.0,1,0.25,1,,1306.1621621621618,1238.0,787.0,2019.0,48328.0,307.04872156942355,1442.216216216216,1467.0,614.0,2295.0,53362.0,470.67340263918874,2400.0810810810817,1945.0,1238.0,5005.0,88803.0,1106.4052245994778,0.030543749445857832,0.25215972130140557,0.04849606346543014,0.2834525679360336,0.26013678654316186,0.8956241025551528
ID146052,146052,2,683.39990234375,31.066432984646816,17.147399942872543,0.0,51.0,51,0.25,1,,2117.378378378379,2042.0,1563.0,3337.0,78343.0,386.08032780694685,1260.4864864864862,1198.0,786.0,1808.0,46638.0,238.37186420726263,2139.891891891892,2094.0,1171.0,3937.0,79176.0,716.4064560081869,0.10914141717556852,1.0793280458339423,0.08259863035308954,0.8068978706192491,0.20712191530613994,1.0250316062262748
ID147332,147332,2,429.2174987792969,31.60876759253323,17.158906847500223,0.0,58.0,58,0.25,1,,1040.6216216216214,895.0,403.0,2067.0,38503.0,483.35392779982607,1029.5945945945946,1016.0,524.0,1656.0,38095.0,261.4262653066677,1859.297297297297,1756.0,1249.0,3445.0,68794.0,495.2906478279454,0.016112955455113438,0.06827957459499051,0.06305141601825151,0.46718361728319446,0.14614302103904353,0.9573218524002971
ID146437,146437,2,582.1966552734375,31.172332208098403,17.23532346257382,0.0,53.0,53,0.25,1,,2024.675675675676,1985.0,1165.0,2667.0,74913.0,351.9721464716944,1317.8108108108108,1321.0,961.0,1768.0,48759.0,207.67814813603576,2063.6216216216217,1941.0,1303.0,3454.0,76354.0,592.247946919726,0.14540294794917855,1.460468113404102,0.09488249470128893,1.0997927231340565,0.19290273827408402,1.126911623378399
ID141192,141192,2,864.0392456054688,30.894902109023953,17.2034953506181,0.0,27.0,27,0.25,1,,1868.8378378378384,1896.0,1239.0,2890.0,69147.0,351.1646110929803,1528.3243243243248,1489.0,1034.0,2142.0,56548.0,259.80131875189784,2422.7027027027025,2194.0,1390.0,4712.0,89640.0,890.6350688277583,0.09908381656755559,0.9595393392338495,0.06350022184877627,0.702492719157175,0.2544892529078463,1.1036537153162533
ID143112,143112,2,910.20947265625,30.984960855696855,17.249635789520063,0.0,37.0,37,0.25,1,,1833.7837837837833,1721.0,854.0,3002.0,67850.0,506.4147474120362,1335.3783783783788,1318.0,932.0,1896.0,49409.0,247.21238634818437,2342.4324324324325,2082.0,1251.0,4805.0,86670.0,952.7675634854653,0.07848111643689204,0.5270167354042873,0.05131697953729382,0.5273409735223785,0.2612286760585656,1.0184439147146485
ID141838,141838,2,935.125732421875,30.59888449799649,17.325554480337825,0.0,30.0,30,0.25,1,,1808.4594594594596,1809.0,998.0,2592.0,66913.0,412.75332925466614,1427.3513513513512,1420.0,770.0,2567.0,52812.0,389.95763418153064,2254.891891891892,1882.0,1140.0,4950.0,83431.0,987.4454635794035,0.10943991521340585,0.8644107304286442,0.09628872537458187,0.6429747960313041,0.2695909160988561,0.9698041758436307
ID139538,139538,2,513.082275390625,30.643317962584742,17.029132181530077,0.0,20.0,20,0.25,1,,1401.3243243243244,1464.0,828.0,1916.0,51849.0,292.14741846217663,1478.9459459459463,1416.0,717.0,2719.0,54721.0,491.47459219655985,1895.1351351351354,1684.0,1117.0,3424.0,70120.0,571.9203111818484,0.03312102111219308,0.3075524014100806,0.10838240988920711,0.5885053352147254,0.1575424552097741,0.9019767426683306
ID145296,145296,2,823.377685546875,31.19711730320143,17.45355660939543,0.0,47.0,47,0.25,1,,1802.3513513513515,1772.0,795.0,2785.0,66687.0,476.2834832916804,1493.918918918919,1463.0,960.0,1938.0,55275.0,218.17416314831019,2126.8918918918916,1768.0,1102.0,5491.0,78695.0,1015.5873173189487,0.09826027939890321,0.6771371617996795,0.10207992696349553,1.2684722255550152,0.2088734914523846,0.7237034025743208
ID135316,135316,2,809.3922729492188,30.653563607872425,17.32420524226768,0.0,4.0,4,0.25,1,,1635.2432432432438,1579.0,782.0,2870.0,60504.0,530.815117709725,1763.081081081081,1894.0,868.0,2420.0,65234.0,464.267306766406,2416.108108108108,2212.0,1249.0,4350.0,89396.0,809.8284380651862,0.07575978407620515,0.43390284663598444,0.11121398917538972,0.7601440448337818,0.22823830740522863,1.1088153628151378
ID142485,142485,2,878.0515747070312,30.984596348497124,17.384606235061632,0.0,34.0,34,0.25,1,,1982.1351351351352,1873.0,1483.0,2975.0,73339.0,360.7739490904829,1470.8648648648646,1465.0,1012.0,1942.0,54422.0,249.366771617204,2360.540540540541,2144.0,1140.0,4515.0,87340.0,1013.1935921901871,0.03785906714603113,0.4008294382402684,0.04440077980230709,0.5015192380077681,0.25256432307767646,0.9395523645383381
ID143514,143514,2,793.1263427734375,30.931844638508522,17.180983658434904,0.0,38.0,38,0.25,1,,1654.9459459459463,1758.0,781.0,2155.0,61233.0,361.68079434357173,1276.4324324324325,1226.0,839.0,1858.0,47228.0,248.5136415370996,2270.8378378378375,2229.0,1201.0,4328.0,84021.0,839.3967249530235,0.043584612910987815,0.3822028202549313,0.07958042477562557,0.7572318013147762,0.23382156354558908,1.025371049718952
